attributes;date;email;gender
3|3|2|3|3|2|0|2|3|0;2021-11-13 14:52;ID13;M
2|2|2|1|2|2|0|1|1|1;2021-11-13 14:52;ID48;M
3|3|1|2|2|2|2|1|1|1;2021-11-13 15:03;ID6;M
2|2|2|2|2|2|1|2|2|2;2021-11-13 15:04;ID5;K
1|1|1|1|1|1|0|1|1|2;2021-11-13 15:04;ID34;M
3|0|2|2|2|1|0|3|1|2;2021-11-13 15:04;ID26;K
2|2|1|1|1|1|1|2|1|1;2021-11-13 15:09;ID49;K
1|0|1|0|0|1|0|1|1|1;2021-11-13 15:11;ID58;K
2|2|2|1|2|1|1|1|2|1;2021-11-13 15:13;ID18;M
1|0|0|1|1|0|0|1|1|0;2021-11-13 15:13;ID16;K
2|1|1|1|0|1|0|1|0|1;2021-11-13 15:15;ID28;K
3|3|3|2|3|3|2|3|2|3;2021-11-13 15:20;ID47;K
1|1|1|1|1|1|0|1|1|1;2021-11-13 15:23;ID2;K
2|3|3|2|3|2|2|3|3|3;2021-11-13 15:27;ID46;M
2|1|1|2|0|1|0|2|0|0;2021-11-13 15:23;ID36;K
1|1|1|1|1|1|1|0|0|0;2021-11-13 15:34;ID38;M
1|1|1|1|1|1|0|0|1|1;2021-11-13 15:38;ID15;M
0|1|1|1|0|0|0|1|1|0;2021-11-13 15:42;ID57;K
3|2|2|1|2|2|2|3|3|2;2021-11-13 15:53;ID35;K
1|1|0|1|0|1|0|2|2|1;2021-11-13 16:03;ID1;M
3|1|2|3|1|1|1|2|1|1;2021-11-13 16:10;ID59;K
3|2|1|2|1|1|0|3|3|2;2021-11-13 16:35;ID8;K
0|0|0|0|3|0|0|0|0|2;2021-11-13 20:35;ID44;M
2|1|2|1|2|1|0|1|1|1;2021-11-14 19:33;ID53;K
1|1|0|0|0|0|0|1|0|2;2021-11-14 19:47;ID64;K
2|0|1|1|0|0|0|1|1|1;2021-11-15 12:40;ID7;M
2|1|2|3|2|2|1|2|1|2;2021-11-18 18:47;ID67;M
2|1|1|1|1|0|0|1|1|1;2021-11-21 19:20;ID14;K
2|0|0|2|1|1|0|3|0|2;2021-11-26 12:32;ID70;M
2|1|2|0|0|0|0|1|1|2;2021-11-27 16:12;ID74;K
2|1|1|1|0|0|0|0|3|1;2021-11-27 16:35;ID83;M
2|1|1|1|1|1|0|2|2|1;2021-11-27 16:37;ID76;M
1|0|1|1|1|0|0|0|0|1;2021-11-27 16:41;ID85;M
1|1|2|1|1|1|0|2|2|2;2021-11-27 16:41;ID80;K
1|2|2|1|2|1|1|2|3|1;2021-11-27 16:41;ID77;K
2|0|1|2|2|2|0|0|2|0;2021-11-27 16:46;ID79;M
3|1|1|2|2|1|1|2|2|2;2021-11-27 16:49;ID84;K
1|0|0|1|0|0|0|1|1|0;2021-11-27 16:49;ID73;M
1|1|1|2|1|1|0|0|0|0;2021-11-27 16:50;ID87;M
2|2|2|2|1|2|2|2|2|2;2021-11-27 16:50;ID86;K
0|3|3|1|2|1|0|1|1|1;2021-11-27 16:53;ID82;K
2|1|2|3|1|1|0|2|2|1;2021-11-27 16:47;ID71;K
2|2|2|1|3|2|1|1|1|1;2021-11-27 16:55;ID94;K
3|1|2|3|1|2|0|3|3|2;2021-11-27 16:55;ID78;K
2|1|3|2|0|1|0|0|0|0;2021-11-27 16:55;ID92;K
0|0|0|0|0|0|0|0|0|0;2021-11-27 16:56;ID93;M
1|0|1|1|0|0|0|0|0|0;2021-11-27 16:56;ID75;M
