birth_year;child_number;doughter_birth_years;education;email;gender;mariage_year;partner_email;relation_start_year;son_birth_years
1981;3;2009,2015;wyższe;ID1;M;2008;ID2;2006;2012
1984;3;2009,2015;wyższe;ID2;K;2008;ID1;2006;2012
1991;0;;wyższe;ID3;K;2017;ID4;2013;
1988;0;;wyższe;ID4;M;2017;ID3;2013;
1984;0;;wyższe;ID5;K;2012;ID6;2009;
1980;0;;wyższe;ID6;M;2012;ID5;2009;
1972;4;1999,2001;wyższe;ID7;M;1996;ID14;1991;2004,2009
1967;3;;wyższe;ID8;K;1991;ID17;1989;1992,1995,2005
1966;4;1991;średnie;ID9;M;1989;ID12;1989;1989,2001,2011
1987;3;2016;wyższe;ID10;K;2008;ID11;2007;2009,2017
1988;3;2016;wyższe;ID11;M;2008;ID10;2007;2009,2017
1968;4;1991;wyższe;ID12;K;1989;ID9;1989;1989,2001,2011
1976;3;2002;wyższe;ID13;M;2000;ID16;1995;2006,2009
1973;4;1999,2001;wyższe;ID14;K;1996;ID7;1991;2004,2009
1980;2;2008;średnie;ID15;M;2021;ID29;2020;2012
1976;3;2002;wyższe;ID16;K;2000;ID13;1995;2006,2009
1966;3;;wyższe;ID17;M;1991;ID8;1989;1992,1995,2005
1966;5;1995,2008;wyższe;ID18;M;1993;ID58;1987;1992,1993,2005
1986;2;2007;średnie;ID19;K;2007;ID20;2005;2013
1979;2;2007;średnie;ID20;M;2007;ID19;2005;2013
1965;5;1991,1996,1998,2004;wyższe;ID21;M;1991;ID22;1989;1995
1968;5;1991,1996,1998,2004;wyższe;ID22;K;1991;ID21;1989;1995
1977;4;2009,2010;wyższe;ID23;M;2003;ID24;2001;2006,2014
1977;4;2009,2010;wyższe;ID24;K;2003;ID23;2001;2006,2014
1976;0;;wyższe;ID25;M;2014;ID26;2012;
1976;0;;wyższe;ID26;K;2014;ID25;2012;
1979;3;2003,2017;średnie;ID27;M;2001;ID28;1998;2002
1979;3;2003,2017;wyższe;ID28;K;2001;ID27;1998;2002
1984;2;2008;wyższe;ID29;K;2021;ID15;2020;2012
1990;2;2017,2018;średnie;ID30;K;2016;ID31;2015;
1991;2;2017,2018;wyższe;ID31;M;2016;ID30;2015;
1977;3;2012,2017;wyższe;ID32;K;2011;ID33;2010;2013
1977;3;2012,2017;wyższe;ID33;M;2011;ID32;2010;2013
1976;5;2012;średnie;ID34;M;2009;ID35;2008;2004,2005,2010,2011
1977;5;2012;średnie;ID35;K;2009;ID34;2008;2004,2005,2010,2011
1980;4;2006,2012;wyższe;ID36;K;2005;ID38;2002;2010,2014
1978;4;2016;wyższe;ID37;K;2009;ID39;2005;2010,2013,2013
1977;4;2006,2012;wyższe;ID38;M;2005;ID36;2002;2010,2014
1984;4;2016;wyższe;ID39;M;2009;ID37;2005;2010,2013,2013
1990;1;2018;wyższe;ID40;K;2016;ID41;2011;
1988;1;2018;wyższe;ID41;M;2016;ID40;2011;
1981;1;;wyższe;ID42;M;2012;ID43;2012;2013
1977;1;;wyższe;ID43;K;2012;ID42;2012;2013
1961;2;;średnie;ID44;M;1983;ID45;1983;1984,1986
1960;2;;średnie;ID45;K;1983;ID44;1983;1984,1986
1975;2;2012;wyższe;ID46;M;2006;ID47;2003;2015
1978;2;2012;wyższe;ID47;K;2006;ID46;2003;2015
1974;2;2009;wyższe;ID48;M;2001;ID49;2001;2003
1977;2;2009;wyższe;ID49;K;2001;ID48;2001;2003
1981;3;2012,2014;wyższe;ID50;K;2006;ID51;2004;2008
1975;3;2012,2014;średnie;ID51;M;2006;ID50;2004;2008
1966;3;2000,2005;wyższe;ID52;M;1997;ID53;1997;1998
1967;3;2000,2005;średnie;ID53;K;1997;ID52;1997;1998
1972;1;;średnie;ID54;M;2003;ID55;1995;2004
1976;1;;wyższe;ID55;K;2003;ID54;1995;2004
1972;3;2002,2011;średnie;ID56;M;1998;ID57;1996;2001
1972;3;2002,2011;średnie;ID57;K;1998;ID56;1996;2001
1971;5;1995,2008;średnie;ID58;K;1993;ID18;1987;1992,1993,2005
1981;3;;wyższe;ID59;K;2009;ID60;2007;2011,2013,2015
1968;3;;wyższe;ID60;M;2009;ID59;2007;2011,2013,2015
1975;4;2006;wyższe;ID61;K;2000;ID70;1997;2003,2004,2008
1995;0;;wyższe;ID62;K;2021;ID63;2019;
1995;0;;wyższe;ID63;M;2021;ID62;2019;
1996;0;;wyższe;ID64;K;2021;ID65;2020;
1991;0;;podstawowe;ID65;M;2021;ID64;2020;
1996;0;;wyższe;ID66;K;2021;ID67;2021;
1994;0;;wyższe;ID67;M;2021;ID66;2021;
2003;0;;podstawowe;ID68;K;2021;ID69;2021;
2002;0;;średnie;ID69;M;2021;ID68;2021;
1975;4;2006;wyższe;ID70;M;2000;ID61;1997;2003,2004,2008
1986;3;2016,2018;wyższe;ID71;K;2015;ID73;2013;2021
1978;3;2011;średnie;ID72;K;2002;ID238;2000;2004,2017
1987;3;2016,2018;wyższe;ID73;M;2015;ID71;2013;2021
1984;2;2011,2015;wyższe;ID74;K;2010;ID75;2009;
1984;2;2011,2015;wyższe;ID75;M;2010;ID74;2009;
1971;6;2000,2005,2005;wyższe;ID76;M;1996;ID77;1995;1997,2003,2013
1973;6;2000,2005,2005;wyższe;ID77;K;1996;ID76;1995;1997,2003,2013
1981;4;2012,2019;wyższe;ID78;K;2011;ID79;2008;2014,2016
1986;4;2012,2019;wyższe;ID79;M;2011;ID78;2008;2014,2016
1985;2;2011,2013;wyższe;ID80;K;2007;ID81;2003;
1985;2;2011,2013;wyższe;ID81;M;2007;ID80;2003;
1965;4;1992,2000,2001;wyższe;ID82;K;1991;ID83;1988;2006
1966;4;1992,2000,2001;wyższe;ID83;M;1991;ID82;1988;2006
1989;1;2018;wyższe;ID84;K;2017;ID85;2015;
1988;1;2018;wyższe;ID85;M;2017;ID84;2015;
1972;3;1995;średnie;ID86;K;1994;ID87;1988;1998,2008
1972;3;1995;wyższe;ID87;M;1994;ID86;1988;1998,2008
1984;2;2010;wyższe;ID88;K;2009;ID89;2003;2013
1984;2;2010;wyższe;ID89;M;2009;ID88;2003;2013
