TABLE "anxiety_user"
ATTRIBUTES 23
 f_0_a symbolic
 f_1_a symbolic
 f_2_a symbolic
 f_3_a symbolic
 f_4_a symbolic
 f_5_a symbolic
 f_6_a symbolic
 f_7_a symbolic
 f_8_a symbolic
 f_9_a symbolic
 child_number symbolic
 education symbolic
 gender symbolic
 partner_education symbolic
 partner_age symbolic
 no_of_daughters symbolic
 no_of_sons symbolic
 age_oldest_child symbolic
 average_child_age symbolic
 age symbolic
 years_of_mariage symbolic
 years_of_relationship symbolic
 group symbolic
OBJECTS 1970
"2-2" "1-1" "1-3" "2-1" "1-0" "0-1" "0-0" "3-0" "1-0" "2-0" "6-4" "1-1" "1-0" "1-1" "40-45" "4-2" "2-2" "3-11" "9-16" "40-45" "16-21" "22-27" "0-1"
"2-1" "1-0" "1-1" "2-2" "1-1" "0-1" "0-0" "3-1" "1-0" "2-1" "6-2" "1-1" "1-0" "1-1" "40-51" "4-1" "2-1" "3-15" "9-17" "40-49" "16-24" "22-32" "0-1"
"2-0" "1-1" "1-1" "2-2" "1-0" "0-0" "0-0" "3-1" "1-1" "2-0" "6-3" "1-0" "1-0" "1-0" "40-53" "4-2" "2-1" "3-14" "9-20" "40-53" "16-27" "22-29" "0-2"
"2-1" "1-1" "1-1" "2-1" "1-1" "0-1" "0-0" "3-0" "1-0" "2-0" "6-3" "1-1" "1-1" "1-0" "40-53" "4-1" "2-2" "3-17" "9-25" "40-53" "16-31" "22-37" "0-1"
"2-1" "1-1" "1-1" "2-2" "1-1" "0-1" "0-0" "3-1" "1-1" "2-2" "6-3" "1-1" "1-1" "1-1" "40-45" "4-1" "2-2" "3-8" "9-13" "40-49" "16-20" "22-24" "0-1"
"2-1" "1-0" "1-1" "2-1" "1-0" "0-1" "0-0" "3-1" "1-1" "2-1" "6-4" "1-1" "1-1" "1-1" "40-46" "4-1" "2-3" "3-7" "9-12" "40-44" "16-21" "22-23" "0-1"
"2-0" "1-0" "1-0" "2-3" "1-0" "0-0" "0-0" "3-1" "1-1" "2-0" "6-2" "1-1" "1-1" "1-1" "40-42" "4-0" "2-2" "3-12" "9-13" "40-40" "16-15" "22-17" "0-1"
"2-2" "1-1" "1-0" "2-2" "1-0" "0-0" "0-0" "3-0" "1-2" "2-0" "6-5" "1-1" "1-1" "1-1" "40-43" "4-1" "2-4" "3-11" "9-14" "40-46" "16-20" "22-22" "0-1"
"2-1" "1-1" "1-2" "2-3" "1-0" "0-0" "0-0" "3-0" "1-0" "2-0" "6-2" "1-1" "1-0" "1-1" "40-41" "4-1" "2-1" "3-12" "9-14" "40-41" "16-16" "22-22" "0-1"
"2-1" "1-1" "1-1" "2-3" "1-0" "0-1" "0-0" "3-1" "1-1" "2-1" "6-5" "1-1" "1-0" "1-1" "40-46" "4-1" "2-4" "3-11" "9-14" "40-43" "16-20" "22-22" "0-1"
"2-1" "1-0" "1-1" "2-1" "1-0" "0-1" "0-0" "3-1" "1-1" "2-1" "6-3" "1-0" "1-1" "1-1" "40-44" "4-0" "2-3" "3-11" "9-14" "40-53" "16-19" "22-21" "0-1"
"2-1" "1-0" "1-1" "2-3" "1-0" "0-0" "0-0" "3-0" "1-0" "2-0" "6-1" "1-1" "1-1" "1-1" "40-47" "4-1" "2-0" "3-10" "9-10" "40-49" "16-22" "22-25" "0-1"
"2-2" "1-0" "1-0" "2-2" "1-0" "0-1" "0-0" "3-0" "1-0" "2-0" "6-2" "1-1" "1-1" "1-1" "40-40" "4-2" "2-0" "3-12" "9-13" "40-40" "16-18" "22-22" "0-1"
"2-1" "1-1" "1-1" "2-2" "1-1" "0-1" "0-0" "3-0" "1-1" "2-1" "6-3" "1-1" "1-1" "1-1" "40-44" "4-1" "2-2" "3-6" "9-12" "40-48" "16-19" "22-24" "0-1"
"2-1" "1-1" "1-1" "2-2" "1-0" "0-1" "0-1" "3-2" "1-1" "2-1" "6-4" "1-1" "1-0" "1-1" "40-40" "4-4" "2-0" "3-6" "9-8" "40-34" "16-10" "22-12" "0-1"
"2-3" "1-0" "1-2" "2-3" "1-0" "0-2" "0-0" "3-0" "1-0" "2-0" "6-2" "1-1" "1-0" "1-1" "40-44" "4-1" "2-1" "3-13" "9-14" "40-45" "16-20" "22-22" "0-1"
